vila,year_month,avg_forecast,min_forecast,max_forecast
Briana Villas,2026-01,94.31,93.89,96.81
Briana Villas,2026-02,94.18,94.18,94.18
Briana Villas,2026-03,94.18,94.18,94.18
Briana Villas,2026-04,94.18,94.18,94.18
Briana Villas,2026-05,94.18,94.18,94.18
Briana Villas,2026-06,94.18,94.18,94.18
Castello Villas,2026-01,71.6,60.1,92.35
Castello Villas,2026-02,70.39,69.79,71.63
Castello Villas,2026-03,70.36,70.34,70.41
Castello Villas,2026-04,70.36,70.36,70.36
Castello Villas,2026-05,70.36,70.36,70.36
Castello Villas,2026-06,70.36,70.36,70.36
Eindra Villas,2026-01,99.76,99.75,99.89
Eindra Villas,2026-02,99.75,99.75,99.75
Eindra Villas,2026-03,99.75,99.75,99.75
Eindra Villas,2026-04,99.75,99.75,99.75
Eindra Villas,2026-05,99.75,99.75,99.75
Eindra Villas,2026-06,99.75,99.75,99.75
Elina Villas,2026-01,73.36,50.49,76.92
Elina Villas,2026-02,75.31,75.22,75.36
Elina Villas,2026-03,75.32,75.32,75.32
Elina Villas,2026-04,75.32,75.32,75.32
Elina Villas,2026-05,75.32,75.32,75.32
Elina Villas,2026-06,75.32,75.32,75.32
Esha Villas,2026-01,89.17,88.54,95.4
Esha Villas,2026-02,88.54,88.54,88.54
Esha Villas,2026-03,88.54,88.54,88.54
Esha Villas,2026-04,88.54,88.54,88.54
Esha Villas,2026-05,88.54,88.54,88.54
Esha Villas,2026-06,88.54,88.54,88.54
Isola Villas,2026-01,77.84,75.08,84.88
Isola Villas,2026-02,76.98,76.53,77.42
Isola Villas,2026-03,77.01,76.96,77.06
Isola Villas,2026-04,77.01,77.01,77.02
Isola Villas,2026-05,77.01,77.01,77.01
Isola Villas,2026-06,77.01,77.01,77.01
Ozamiz Villas,2026-01,86.31,74.35,98.89
Ozamiz Villas,2026-02,64.67,56.44,73.62
Ozamiz Villas,2026-03,48.4,41.59,55.89
Ozamiz Villas,2026-04,35.84,30.96,41.19
Ozamiz Villas,2026-05,26.55,22.81,30.65
Ozamiz Villas,2026-06,19.75,17.15,22.59
