Villa,Area,Bulan,Forecast (%),Lower CI 90%,Upper CI 90%,Rentang CI
Briana,Canggu,Jul 2025,74.46,55.56,93.36,37.79
Briana,Canggu,Aug 2025,63.81,42.8,84.82,42.02
Briana,Canggu,Sep 2025,71.56,44.29,98.84,54.54
Briana,Canggu,Oct 2025,71.82,42.61,100.0,57.39
Briana,Canggu,Nov 2025,72.73,39.28,100.0,60.72
Briana,Canggu,Dec 2025,73.38,38.04,100.0,61.96
Castello,Canggu,Jul 2025,86.67,38.33,100.0,61.67
Castello,Canggu,Aug 2025,86.67,18.31,100.0,81.69
Castello,Canggu,Sep 2025,86.67,2.95,100.0,97.05
Castello,Canggu,Oct 2025,86.67,0.0,100.0,100.0
Castello,Canggu,Nov 2025,86.67,0.0,100.0,100.0
Castello,Canggu,Dec 2025,86.67,0.0,100.0,100.0
Elina,Canggu,Jul 2025,46.67,0.0,100.0,100.0
Elina,Canggu,Aug 2025,46.67,0.0,100.0,100.0
Elina,Canggu,Sep 2025,46.67,0.0,100.0,100.0
Elina,Canggu,Oct 2025,46.67,0.0,100.0,100.0
Elina,Canggu,Nov 2025,46.67,0.0,100.0,100.0
Elina,Canggu,Dec 2025,46.67,0.0,100.0,100.0
Isola,Canggu,Jul 2025,87.22,52.17,100.0,47.83
Isola,Canggu,Aug 2025,87.22,47.32,100.0,52.68
Isola,Canggu,Sep 2025,87.22,42.99,100.0,57.01
Isola,Canggu,Oct 2025,87.22,39.05,100.0,60.95
Isola,Canggu,Nov 2025,87.22,35.42,100.0,64.58
Isola,Canggu,Dec 2025,87.22,32.02,100.0,67.98
Eindra,Seminyak,Jul 2025,74.68,52.22,97.13,44.91
Eindra,Seminyak,Aug 2025,75.2,48.11,100.0,51.89
Eindra,Seminyak,Sep 2025,75.72,44.62,100.0,55.38
Eindra,Seminyak,Oct 2025,76.25,41.56,100.0,58.44
Eindra,Seminyak,Nov 2025,76.78,38.8,100.0,61.2
Eindra,Seminyak,Dec 2025,77.31,36.26,100.0,63.74
Esha,Seminyak,Jul 2025,74.05,44.99,100.0,55.01
Esha,Seminyak,Aug 2025,71.51,31.12,100.0,68.88
Esha,Seminyak,Sep 2025,69.07,20.43,100.0,79.57
Esha,Seminyak,Oct 2025,66.71,11.47,100.0,88.53
Esha,Seminyak,Nov 2025,64.42,3.68,100.0,96.32
Esha,Seminyak,Dec 2025,62.22,0.0,100.0,100.0
Ozamiz,Seminyak,Jul 2025,100.0,72.87,100.0,27.13
Ozamiz,Seminyak,Aug 2025,81.73,54.69,100.0,45.31
Ozamiz,Seminyak,Sep 2025,54.85,27.81,81.89,54.08
Ozamiz,Seminyak,Oct 2025,95.42,68.38,100.0,31.62
Ozamiz,Seminyak,Nov 2025,71.81,44.77,98.85,54.08
Ozamiz,Seminyak,Dec 2025,77.36,50.32,100.0,49.68
