Vila,Lokasi,Total Baris,Missing Values,Duplikasi,Baris Normal (0-100%),Baris Anomali (>100%),Hari Kosong (0%),Hari Terisi (100%),% Normal
Briana Villas,Canggu,1097,0,0,1092,5,334,757,99.5%
Castello Villas,Canggu,1097,0,0,1097,0,602,494,100.0%
Elina Villas,Canggu,1097,0,0,1085,12,923,161,98.9%
Isola Villas,Canggu,1097,0,0,1066,31,468,597,97.2%
Eindra Villas,Seminyak,1097,0,0,1094,3,329,764,99.7%
Esha Villas,Seminyak,1097,0,0,1097,0,372,724,100.0%
Ozamiz Villas,Seminyak,1097,0,0,1097,0,361,735,100.0%
Min,,1097,0,0,1066,0,329,161,97.2%
Max,,1097,0,0,1097,31,923,764,100.0%
Rata-rata,,1097.0,0.0,0.0,1089.7,7.3,484.1,604.6,99.33%
Std Dev,,0.0,0.0,0.0,11.31,11.31,216.45,219.46,1.02%
